brd	smi	cid	dataset
BRD-K11555344	Cc1ccccc1-c1ccc(cc1)[C@@H]1[C@H]2CN(C[C@@H]1N2)C(=O)NC1CCCCC1	CID:60184857	phase I
BRD-K11677408	CN(C)C(=O)c1cccc(c1)-c1ccc(cc1)[C@@H]1[C@@H]2CNC[C@H]1N2C(=O)Nc1cccc(Cl)c1	CID:60184960	phase I
BRD-K11679888	Cc1cccc(c1)-c1ccc(cc1)[C@@H]1[C@H]2CN(C[C@@H]1N2)C(=O)Nc1ccccc1	CID:60185124	phase I
BRD-K11840410	C\C=C\c1ccc(cc1)[C@@H]1[C@@H]2CNC[C@H]1N2C(=O)Nc1ccc(cc1)C(F)(F)F	CID:60184825	phase I
BRD-K12027235	Fc1cccc(CN2C[C@H]3N[C@@H](C2)[C@@H]3c2ccc(\C=C\c3ccccc3)cc2)c1	CID:60185138	phase I
BRD-K12309761	N#Cc1ccc(cc1)-c1ccc(cc1)[C@H]1[C@@H]2CNC[C@H]1N2Cc1ccc2OCOc2c1	CID:60184875	phase I
BRD-K12604570	FC(F)(F)c1ccc(NC(=O)N2C[C@H]3N[C@@H](C2)[C@H]3c2ccc(cc2)-c2cccc(c2)C#N)cc1	CID:60184988	phase I
BRD-K12676148	CN(C)C(=O)c1cccc(c1)-c1ccc(cc1)[C@@H]1[C@@H]2CNC[C@H]1N2Cc1ccccc1C(F)(F)F	CID:60184963	phase I
BRD-K12744550	O=C(Cc1ccncc1)N1C[C@H]2N[C@@H](C1)[C@H]2c1ccc(\C=C\c2ccccc2)cc1	CID:60184985	phase I
BRD-K14031425	Cc1ccc(cc1)S(=O)(=O)N1C[C@H]2N[C@@H](C1)[C@H]2c1ccc(cc1)-c1cccc(C)c1	CID:60185127	phase I
BRD-K14074563	Cc1ccccc1-c1ccc(cc1)[C@H]1[C@H]2CN(C[C@@H]1N2)C(=O)Nc1ccc(F)cc1	CID:60184934	phase I
BRD-K14086402	C(N1[C@H]2CNC[C@@H]1[C@@H]2c1ccc(cc1)-c1cccnc1)c1ccc2OCOc2c1	CID:60185273	phase I
BRD-K14172822	Cc1cccc(c1)-c1ccc(cc1)[C@@H]1[C@H]2CN(C[C@@H]1N2)C(=O)C1CCCCC1	CID:60185007	phase I
BRD-K14310250	Cc1ccccc1S(=O)(=O)N1C[C@H]2N[C@@H](C1)[C@@H]2c1ccc(cc1)-c1cccc(c1)C#N	CID:60185080	phase I
BRD-K14356875	CN(C)C(=O)c1cccc(c1)-c1ccc(cc1)[C@@H]1[C@H]2N[C@@H]1CN(C2)S(=O)(=O)c1cccc(Cl)c1	CID:60185013	phase I
BRD-K14611588	COc1cccc(NC(=O)N2[C@H]3CNC[C@@H]2[C@@H]3c2ccc(\C=C\C)cc2)c1	CID:60184854	phase I
BRD-K15014948	NC[C@H]1CC[C@@H](CC1)C(O)=O	CID:5526	phase I
BRD-K15042749	C\C=C\c1ccc(cc1)[C@@H]1[C@H]2CN(C[C@@H]1N2)S(=O)(=O)c1cn(C)cn1	CID:60184874	phase I
BRD-K15111910	COc1cccc(c1)-c1ccc(cc1)[C@H]1[C@H]2CN(C[C@@H]1N2)C(=O)C1CCOCC1	CID:60184913	phase I
