brd	smi	cid	dataset
BRD-K72161580	C[C@@H]1ON([C@@H]([C@H]1C(=O)O)c2ccccc2)c3ccccc3	CID:23919667	phase I
BRD-A26097136	CCN1C[C@]2(COC)CCC(OC)[C@]3(C4C[C@@]5(O)[C@H](OC(=O)c6ccc(OC)cc6)C4[C@](C[C@H]5OC)(OC(=O)C)[C@H]7[C@H](OC)C32)[C@@H]71	CID:23919696	phase I
BRD-K07850148	OCCOc1cccc(CN2CCC(CN3C(=O)c4ccccc4C3=O)CC2)c1	CID:23920343	phase I
BRD-K94493764	COC(=O)c1ccc(O)c2oc3cc(CO)cc(O)c3c(=O)c12	CID:23928086	phase I
BRD-K28293491	O[C@@H]1[C@@H](O)[C@H](Oc2ccc(cc2)c3coc4cc(O)ccc4c3=O)O[C@@H]([C@H]1O)C(=O)O	CID:23930394	phase I
BRD-A08709697	CO[C@H](C)C(O)(C(C)C)C(=O)OCC1=CCN2CC[C@H](O)[C@H]21	CID:23930397	phase I
BRD-K44812652	CC(C)C[C@@H]1NC(=O)[C@H]2C[C@H]([C@H](N2C1=O)c3cccc(OCCO)c3)C(=O)NCCCCCNC(=O)CS	CID:23946995	phase I
BRD-K80981391	CCOC(=O)[C@H]1C\C=C\C[C@H](C(=O)OCC)C(=O)O[C@H]2[C@H](OC(=O)Nc3ccc(OC)cc3)[C@@H](CO)O[C@H](OC)[C@@H]2OC1=O	CID:23947034	phase I
BRD-A81530502	COc1ccc(cc1)/C(=N/N2C(Nc3ccccc3C2=O)c4ccccc4O)/C	CID:23947494	phase I
BRD-A80502530	C[C@@H]1C[C@H]2[C@@H](CC[C@@H]3C[C@@H](O)CC[C@@]32C)[C@]45O[C@@H]5[C@H](OC(=O)C)[C@@H](C14)c6ccc(=O)oc6	CID:23947601	phase I
BRD-A78909648	COCC#CC1N(Cc2ccc(o2)[N+](=O)[O-])CCc3cc(OC)c(O)cc13	CID:23948194	phase I
BRD-A68274214	CC1=CCC2[C@](C)(CCC[C@]2(C)[C@H]1CCc3ccoc3)C(=O)O	CID:23955883	phase I
BRD-K63697730	CC(=CCc1c(O[C@@H]2O[C@H](COC(=O)CC(=O)O)[C@@H](O)[C@H](O)[C@H]2O)cc(O)c3C(=O)C[C@H](Oc13)c4ccc(O)cc4)C	CID:23955913	phase I
BRD-K30958640	CC(C)(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@@H](O)COc2c3ccoc3cc4oc(=O)ccc24	CID:23958168	phase I
BRD-A61486721	CN[C@H]1[C@@H](O)C2O[C@H](O[C@@H]3[C@@H](N)C[C@@H](N)[C@H](O)[C@H]3O)[C@H](N)C[C@@H]2OC1O[C@H]4O[C@H](CO)[C@@H](N)[C@H](O)[C@H]4O	CID:23958199	phase I
BRD-K94173926	CO[C@H]1O[C@H](CO)[C@@H](OC(=O)Nc2ccc(cc2)C(F)(F)F)[C@H](OC(=O)Nc3ccccc3)[C@H]1OC(=O)Nc4ccccc4	CID:23975549	phase I
BRD-K88569143	OC(=O)[C@H]1C[C@@H]2N([C@H]1c3ccc(O)cc3)C(=O)CNC2=O	CID:23975571	phase I
BRD-K93215584	COc1ccccc1CN2[C@@H](c3ccc(CO)cc3)[C@@](Cc4ccccc4I)(C(=O)NCCCN(C)C)c5ccccc5C2=O	CID:23975579	phase I
BRD-K93296644	CC(C)NC(=O)[C@]1(CC(=O)N(C2Cc3ccccc3C2)[C@@H]1c4ccc(CO)cc4I)Sc5ccc(C)cc5	CID:23975589	phase I
BRD-K94137285	CCCC[C@H]1OB(O)C[C@H]2C1=C(COC)Cn3n2c(=O)n(c4ccccc4)c3=O	CID:23976270	phase I
BRD-A13367427	CC1OC(OC2CCC3(C)C(CCC4(C)C3CC=C5C6CC(C)(C)CCC6(CCC54C)C(=O)OC7OC(CO)C(OC8OCC(OC9OC(CO)C(O)C(O)C9O)C(OC%10OCC(O)C(O)C%10O)C8O)C(O)C7O)C2(C)C)C(O)C(O)C1OC%11OCC(O)C(O)C%11O	CID:23983744	phase I
BRD-A14178283	C[C@H]1O[C@@H](O[C@H]2CC[C@@]3(C)C(CC[C@]4(C)C3C=C[C@@]56OC[C@@]7(CCC(C)(C)C[C@H]76)[C@@H](O)C[C@]54C)[C@]2(C)CO)[C@H](O[C@@H]8O[C@H](CO)[C@@H](O)[C@H](O)[C@H]8O)[C@@H](O[C@@H]9O[C@H](CO)[C@@H](O[C@@H]%10O[C@H](CO)[C@@H](O)[C@H](O)[C@H]%10O)[C@H](O)[C@H]9O)[C@H]1O	CID:23986040	phase I
BRD-A37501891	C[C@@H]1CC[C@@]2(CC[C@]3(C(=O)O)C(=CCC4[C@@]5(C)CC[C@H](O[C@@H]6O[C@@H](C)[C@H](O)[C@@H](O)[C@H]6O)C(C)(C)C5CC[C@]43C)[C@@H]2[C@H]1C)C(=O)O	CID:23986044	phase I
BRD-A43849199	CCN1C[C@]2(C)CC[C@H](O)[C@]3([C@@H]4C[C@H]5C(O)[C@@H]4[C@](O)(C[C@@H]5OC)[C@H]6C[C@@H]32)C61	CID:23986045	phase I
BRD-K83982653	O=C(Cn1cc(CN2[C@@H](COCC2=O)c3ccccc3)nn1)Nc4ccon4	CID:23986308	phase I
BRD-K51674646	CCCSC1=N/C(=C/c2cccs2)/C(=O)N1c3ccc(F)c(Cl)c3	CID:24002878	phase I
BRD-K18163752	CC(=CCN([C@H](CO)c1ccccc1)C(=O)C#Cc2ccccc2)C	CID:24030598	phase I
BRD-K54159704	CC(C)(C)OC(=O)CC[C@]1(N=C(O[C@@H]1c2ccccc2)c3ccc(OCCCO)cc3)C(=O)N	CID:24031038	phase I
BRD-K89156937	NC(=O)[C@@]1(Cc2ccccc2CN=[N+]=[N-])N=C(O[C@H]1c3ccccc3CN=[N+]=[N-])c4ccc(OCCCO)cc4	CID:24031043	phase I
BRD-A84102390	CS(=O)(=O)CCOC(=O)C1=CN(Cc2cccc(OC(F)(F)F)c2)C(C=C(CCCO)C=C1C(=O)OCCS(=O)(=O)C)c3ccc(CN4CCCC4)cc3	CID:24031075	phase I
BRD-K69501658	COC(=O)CCCCCCC(=O)N/N=C/c1ccccc1Cl	CID:24031702	phase I
BRD-A95820578	C/C=C/C1OC2=C(C(O)C1O)C(=O)OC2=C	CID:24039271	phase I
BRD-A37817666	CC(=C)[C@H]1[C@H]2OC(=O)C1[C@]3(O)CC4O[C@]45C(=O)O[C@H]2[C@@]53C	CID:24041599	phase I
BRD-K74793820	CC[C@]1(O)C[C@H]2C[N@@](C1)CCc1c([nH]c3ccccc13)[C@@](C2)(C(=O)OC)c1cc2c(cc1OC)N(C=O)[C@@H]1[C@]22CCN3CC=C[C@@](CC)([C@@H]23)[C@@H](OC(C)=O)[C@]1(O)C(=O)OC	CID:24058669	phase I
BRD-K00486725	CC(C)CNC(=O)[C@]1(CC(=O)N(CC2(CC3CC4CC(C3)C2)C4)[C@@H]1c5ccc(CO)cc5)c6ccc(cc6)[N+](=O)[O-]	CID:24058689	phase I
BRD-K82971429	C[C@@H]1[C@H]([C@H](CCO)O[C@@]12C(=O)N(CC=C)c3ccc(cc32)N4CCCCC4=O)[Si](C)(C)F	CID:24059344	phase I
BRD-A22272113	CCCC1=C(/C=C/C(=O)O)C(=O)C(O1)C(C)(C)C2OC(=C(/C=C/C(=O)O)C2=O)CCC	CID:24069148	phase I
BRD-K86761848	CCOC(=O)[C@H]1C\C=C\C[C@H](C(=O)OCC)C(=O)O[C@H]2[C@H](OC(=O)Nc3ccc(Br)cc3)[C@@H](CO)O[C@H](OC)[C@@H]2OC1=O	CID:24086306	phase I
BRD-K61192129	COC(=O)CCCCCCC(=O)N/N=C/CCCC1OCC(C)(C)CO1	CID:24086889	phase I
BRD-K15419449	CO[C@H]1O[C@H](CO)[C@@H](OC(=O)Nc2ccc(Br)cc2)[C@@H]2OC(=O)[C@H](Cc3cccc(Br)c3)C\C=C\C[C@@H](Cc3cccc(Br)c3)C(=O)O[C@@H]12	CID:24094067	phase I
BRD-K96274284	OCc1c(Cl)cccc1N2[C@@H](C(=O)NCc3ccccc3)[C@]4(O[C@H]5C=C4)[C@H]([C@@H]5C(=O)O)C2=O	CID:24094187	phase I
BRD-K09790412	NCCNCc1cccc2cnccc12	CID:24113957	phase I
BRD-K09977233	Cc1cc(O)c(O)c(c1)C(=O)C(=O)c2c(O)cc(O)cc2O	CID:24123440	phase I
BRD-K08845546	CO[C@@H]1C[C@@H](CC[C@H]1O)\C=C(/C)[C@H]1OC(=O)[C@@H]2CCCCN2C(=O)C(=O)[C@]2(O)O[C@H](C[C@H](C[C@@H](C)C\C(C)=C/[C@@H](CC=C)C(=O)C[C@H](O)[C@H]1C)OC)[C@H](C[C@H]2C)OC	CID:24140138	phase I
BRD-K72541103	OCc1cc2ncnc(Nc3ccc(O)cc3)c2cc1CO	CID:24140566	phase I
BRD-K01800709	COC(=O)C1(CCCCC1)N2CC3=CCCC=C[C@H]3[C@@H]2[C@@H](O)Cc4ccccc4	CID:24148563	phase I
BRD-A41114263	OCCCCC/C=C\C/C=C\C(O)CC1CCC(CC(=O)O)O1	CID:24150636	phase I
BRD-A74771556	CC(C(C)c1ccc(O)cn1)C(N)C(=O)NC([C@H]2O[C@H]([C@@H](O)[C@H]2O)N3C=CC(=O)CC3=O)C(=O)O	CID:24151277	phase I
BRD-K44540157	Cc1ccc(S[C@@]2(CC(=O)N(C3Cc4ccccc4C3)[C@@H]2c5ccc(CO)cc5I)C(=O)NCCN6CCOCC6)cc1	CID:24167050	phase I
BRD-A20488704	CC1(C)C(CCC2(C)C3CC(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C(C)(C=C)C=C3CCC12)O[C@@H]5O[C@@H](CO)[C@H](O)[C@H]5O	CID:24177547	phase I
BRD-K54331210	OCCNC(=O)c1cc(n[nH]1)-c1ccc(Cl)c(Cl)c1Cl	CID:24178170	phase I
BRD-K16478699	CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(Cl)cc23)c1F	CID:24180719	phase I
BRD-K64877338	O=C(N1CCc2ccccc2C1)C1=CC=CN2CCS(=O)(=O)N=C12	CID:24239644	phase I
BRD-A95937159	CCC1CCc2sc(cc2C1)C(=O)Nc1cc(ccc1OC)S(=O)(=O)N1CCOCC1	CID:24242928	phase I
BRD-K70229243	CCOC(=O)C(Cc1cc(OC)cc(OC)c1)(Cc2cc(OC)cc(OC)c2)C#N	CID:24747148	phase I
BRD-K91184774	Cc1nc(N)c2c(Cc3cccc4ccccc34)nn(c2n1)C(C)(C)C	CID:24747149	phase I
BRD-A74983348	CC(=O)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC2(C)[C@]1(C)O	CID:24747150	phase I
BRD-K45308677	Nc1c(C#N)c(Cc2cccc3ccccc23)nn1CCC#N	CID:24747151	phase I
BRD-K32132269	COc1c(O)cccc1[C@@H](O)C2CCN(CCc3ccc(F)cc3)CC2	CID:24747152	phase I
BRD-K67306351	Nc1c(C#N)c(Cc2cccc3ccccc23)nn1CCO	CID:24747153	phase I
BRD-K62716919	CC(C)n1nc(Cc2cccc3ccccc23)c(C#N)c1N	CID:24747154	phase I
BRD-K11671649	CCn1nc(Cc2cccc3ccccc23)c(C#N)c1N	CID:24747155	phase I
BRD-K01602319	NC(=O)c1ccccc1Nc2nc(NCCO)nc(n2)N3CCCC3	CID:24747156	phase I
BRD-K37372998	Cn1c(=O)c([N+][O-])c(N)n(Cc2ccccc2)c1=S	CID:24747160	phase I
BRD-K44652183	Cn1c(=O)c2nc(CCCC(=O)O)[nH]c2n(Cc3ccccc3)c1=S	CID:24747161	phase I
BRD-K49749421	COc1cc(/C=C\2/N=C(OC2=O)c3ccccc3)c(F)cc1OCc4ccccc4	CID:24747162	phase I
BRD-K79522882	COc1cccc(CN2C(=O)[C@H]3Cc4c([nH]c5ccccc45)C(C)(C)N3C2=O)c1	CID:24747169	phase I
BRD-K97666802	CC1(C)N2[C@H](Cc3c1[nH]c4ccccc34)C(=O)N(Cc5ccccc5F)C2=O	CID:24747172	phase I
BRD-K16947188	CCOc1ccccc1Nc2nc(nc(n2)N3CCOCC3)N4CCCC4	CID:24747173	phase I
BRD-K22546959	Cc1cc(Nc2cc(Cl)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)[nH]n1	CID:24747174	phase I
BRD-K66438357	OCCNc1nc(Nc2ccccc2C(F)(F)F)nc(n1)N3CCCC3	CID:24747175	phase I
BRD-K59429476	CC1(C)N2[C@H](Cc3c1[nH]c4ccccc34)C(=O)N(Cc5ccccc5Cl)C2=O	CID:24747176	phase I
BRD-K70415218	CCCCOc1ccc(Cl)cc1Nc2nc(NCCO)nc(n2)N3CCCC3	CID:24747177	phase I
BRD-K97926541	COc1ccccc1Nc2nc(NCCCCO)nc(n2)N3CCCC3	CID:24747178	phase I
BRD-K61923775	CC1(C)N2[C@H](Cc3c1[nH]c4ccccc34)C(=O)N(Cc5ccccc5)C2=O	CID:24747179	phase I
BRD-K54503842	CC1(C)N2[C@@H](Cc3c1[nH]c4ccccc34)C(=O)N(Cc5ccc(F)cc5)C2=O	CID:24747180	phase I
BRD-K91264756	CCCOc1ccc(Cl)cc1Nc2nc(NCCO)nc(n2)N3CCCC3	CID:24747181	phase I
BRD-K27630941	COc1ccccc1Nc2nc(nc(n2)N3CCOCC3)N4CCCC4	CID:24747182	phase I
BRD-K99494806	CC1(C)N2[C@@H](Cc3c1[nH]c4ccccc34)C(=O)N(Cc5ccccc5F)C2=O	CID:24747183	phase I
BRD-K71671265	Cc1ccccc1CN2C(=O)[C@@H]3Cc4c([nH]c5ccccc45)C(C)(C)N3C2=O	CID:24747188	phase I
BRD-K17915279	Cc1ccc(CN2C(=O)[C@@H]3Cc4c([nH]c5ccccc45)C(C)(C)N3C2=O)cc1	CID:24747189	phase I
BRD-K93875449	Cn1nc(Cc2cccc3ccccc23)c(C#N)c1N	CID:24747191	phase I
BRD-K78481586	Nc1[nH]nc(Cc2cccc3ccccc23)c1C#N	CID:24747192	phase I
BRD-K44929916	COc1ccccc1CN2C(=O)[C@@H]3Cc4c([nH]c5ccccc45)C(C)(C)N3C2=O	CID:24747193	phase I
BRD-K65741250	CC1(C)N2[C@H](Cc3c1[nH]c4ccccc34)C(=O)N(C2=O)c5cc(F)ccc5F	CID:24747194	phase I
BRD-K82566177	CC1(C)N2[C@H](Cc3c1[nH]c4ccccc34)C(=O)N(Cc5ccco5)C2=O	CID:24747195	phase I
BRD-K84284996	CC1(C)N2[C@H](Cc3c1[nH]c4ccccc34)C(=O)N(Cc5ccc(F)cc5)C2=O	CID:24747196	phase I
BRD-K02113384	Cc1ccccc1CN2C(=O)[C@H]3Cc4c([nH]c5ccccc45)C(C)(C)N3C2=O	CID:24747209	phase I
BRD-K67880862	CC1(C)N2[C@H](Cc3c1[nH]c4ccccc34)C(=O)N(C2=O)c5ccc(F)cc5F	CID:24747210	phase I
BRD-A24225650	CC(C)c1cn(C2OC(COC(=O)c3ccccc3)C(OC(=O)c4ccccc4)C2OC(=O)c5ccccc5)c(=O)[nH]c1=O	CID:24747211	phase I
BRD-K22006123	C1CCN(C1)c2nc(Nc3ccccc3)nc(n2)N4CCOCC4	CID:24747212	phase I
BRD-K90207583	Cc1ccc(CN2C(=O)[C@H]3Cc4c([nH]c5ccccc45)C(C)(C)N3C2=O)cc1	CID:24747213	phase I
BRD-K57480017	OC(=O)c1ccc(cc1)c2noc(n2)c3ccc(F)cc3	CID:24747214	phase I
BRD-K33086940	COc1cccc(CN2C(=O)[C@@H]3Cc4c([nH]c5ccccc45)C(C)(C)N3C2=O)c1	CID:24747215	phase I
BRD-K91818252	OC(=O)c1ccc(cc1)c2noc(n2)c3ccccc3Cl	CID:24747216	phase I
BRD-K56977905	COc1ccc(cc1O)C2(CCN(CC2)C(=O)C)c3cccc(O)c3OC	CID:24747217	phase I
BRD-K11260407	COc1cc(F)c(cc1OC)C(=O)NC(C)(C)CO	CID:24747218	phase I
BRD-K45675241	COc1cc(ccc1O)c2cc[n+](C)cc2	CID:24747220	phase I
BRD-K23623013	COC(=O)C1=C(C[C@@H]2CC[C@H]1N2C(=O)NC3CCCCC3)c4cc5ccccc5s4	CID:24747230	phase I
BRD-K62493605	CC1(C)N2[C@@H](Cc3c1[nH]c4ccccc34)C(=O)N(Cc5cccc(F)c5)C2=O	CID:24747231	phase I
BRD-K44878494	Cc1c(CCCC(=O)O)sc(N)c1C(=O)c2cccc(c2)C(F)(F)F	CID:24747232	phase I
BRD-K37021324	OCCNc1nc(Nc2cc(Cl)ccc2OC3CCCC3)nc(n1)N4CCCC4	CID:24747241	phase I
BRD-K92419424	COc1ccc(cc1)c2nc(no2)c3ccc(cc3)C(=O)O	CID:24747242	phase I
BRD-K71172276	COc1ccc(Nc2nc(nc(n2)N3CCOCC3)N4CCCC4)cc1	CID:24747245	phase I
BRD-K49967178	OC(=O)c1ccc(cc1)c2noc(n2)c3ccccc3C(F)(F)F	CID:24747246	phase I
BRD-K53142391	COc1cccc(c1)c2nc(no2)c3ccc(cc3)C(=O)O	CID:24747270	phase I
BRD-K72676786	CSc1ncc(CNc2cc(ccc2C)[N+](=O)[O-])c(N)n1	CID:24747271	phase I
BRD-K95934080	Cc1cccc(CN2C(=O)[C@H]3Cc4c([nH]c5ccccc45)C(C)(C)N3C2=O)c1	CID:24747272	phase I
BRD-K82115270	COc1ccccc1CN2C(=O)[C@H]3Cc4c([nH]c5ccccc45)C(C)(C)N3C2=O	CID:24747273	phase I
BRD-K29198371	Cc1cccc(CN2C(=O)[C@@H]3Cc4c([nH]c5ccccc45)C(C)(C)N3C2=O)c1	CID:24747274	phase I
BRD-K13046565	CC(C)(C)OC(=O)N[C@@H](Cc1ccc(cc1)C(=O)c2ccccc2)C(=O)NCC#C	CID:24747275	phase I
BRD-K60202068	CC(=O)Nc1ccccc1Nc2nc(NCCO)nc(n2)N3CCCC3	CID:24747276	phase I
BRD-A21481508	COc1ccc(CC2NCCC3=CC(=O)CCC23)cc1O	CID:24747278	phase I
BRD-K72883421	OC(=O)c1ccc(cc1)c2noc(n2)c3cccc(c3)C(F)(F)F	CID:24747338	phase I
BRD-K63157263	COc1ccccc1c2nc(no2)c3ccc(cc3)C(=O)O	CID:24747339	phase I
BRD-K18761689	OC(=O)c1ccc(cc1)c2noc(n2)c3cccc(F)c3	CID:24747340	phase I
BRD-K22831754	OC(=O)c1ccc(cc1)c2noc(n2)c3ccccc3F	CID:24747341	phase I
BRD-K86231656	CN(C(=O)OC(C)(C)C)c1ccc(cc1)c2nc3ccccc3s2	CID:24747342	phase I
BRD-K88742110	COc1ccc(Cn2ccc3ccc(cc23)C(=O)NO)cc1	CID:24753719	phase I
BRD-K10405667	CCC(=O)N1CCc2cc(ccc12)c3csc(NC(=O)c4ccco4)n3	CID:24761960	phase I
BRD-K58033748	O=C(CCNS(=O)(=O)c1cccc2nsnc12)N1CCN(CC1)c1ccncc1	CID:24768606	phase I
BRD-K48923948	CCS(=O)(=O)N[C@@H]1C[C@@]2(C)O[C@]1(C)[C@H]1[C@@H]2C(=O)N(C1=O)c1ccc(C#N)c(c1)C(F)(F)F	CID:24768935	phase I
BRD-K75295174	COc1cc(Nc2ncc3CN=C(c4cc(Cl)ccc4-c3n2)c2c(F)cccc2OC)ccc1C(O)=O	CID:24771867	phase I
BRD-K19796430	C[C@H]1CN(C[C@@H](C)O1)c1ccc(NC(=O)c2cccc(-c3ccc(OC(F)(F)F)cc3)c2C)cn1	CID:24775005	phase I
BRD-K19477839	Cn1cc(cn1)-c1ccc2nnc(Sc3ccc4ncccc4c3)n2n1	CID:24779724	phase I
BRD-K13049116	C[C@]1(CCCN1c1nc(Nc2cc(n[nH]2)C2CC2)c2cccn2n1)C(=O)Nc1ccc(F)nc1	CID:24785538	phase I
BRD-K40738845	CCOc1ccn(-c2ccc(F)cc2)c(=O)c1C(=O)Nc1ccc(Oc2ccnc(N)c2Cl)c(F)c1	CID:24794418	phase I
BRD-K81783531	CC1CCC(CC1)C(=O)N(C1CCC(O)CC1)c1cc(sc1C(O)=O)C#CC(C)(C)C	CID:24798764	phase I
BRD-A70311631	Cc1cc(C)n(CC(=O)NC2CCCc3c2cnn3c4ccc(C)c(C)c4)n1	CID:24820091	phase I
BRD-K44227013	CN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(c3)C#Cc3cnc4cccnn34)cc2C(F)(F)F)CC1	CID:24826799	phase I
BRD-K61248029	COC(=O)N1N(C(=O)OC)[C@](CC(C)C)(C1=O)c2ccccc2	CID:24856224	phase I
BRD-K25662647	COC(=O)N1N(C(=O)OC)[C@](C(C)C)(C1=O)c2ccc(OC)cc2	CID:24856237	phase I
BRD-K92895207	COC(=O)N1N(C(=O)OC)[C@](C(C)C)(C1=O)c2ccccc2	CID:24856238	phase I
BRD-K34452916	COC(=O)N1N(C(=O)OC)[C@](C2CCCC2)(C1=O)c3ccccc3	CID:24856313	phase I
BRD-K54256913	CN1CCN(CC1)c1ccc(Nc2ncc3c(n2)n(-c2cccc(n2)C(C)(C)O)n(CC=C)c3=O)cc1	CID:24856436	phase I
BRD-K16554956	OP(O)(=O)C(F)(F)c1cc2cc(ccc2cc1Br)C#N	CID:24857885	phase I
BRD-K97447442	ONC(=O)CCCCCCC(=O)Nc1ccc(F)cc1	CID:24861442	phase I
BRD-K25737009	OC(=O)c1ccc(cc1)c2ccc3cc(c(O)cc3c2)C4(CC5CC6CC(C5)C4)C6	CID:24868309	phase I
BRD-A20968261	NC(CC(=O)Nc1ccc(Oc2cc(F)c(F)cc2Br)cc1)C(=O)O	CID:24868316	phase I
BRD-K50325075	C(NC(c1ccccc1)(c1ccccc1)c1ccccc1)c1cccnc1	CID:24868317	phase I
BRD-K71670746	OCCCOc1ccc(cc1)C2=N[C@]3(CC=C)[C@H](O2)c4ccccc4CN(CCS(=O)(=O)c5ccccc5)C3=O	CID:24868572	phase I
BRD-K51683034	CC(C)(C)OC(=O)CC[C@@]12N=C(O[C@H]2c3ccccc3CN(CC=C)C1=O)c4ccc(OCCCO)cc4	CID:24868580	phase I
BRD-K06405410	OCCCOc1ccc(cc1)C2=N[C@]3(Cc4ccccc4)[C@H](O2)c5ccccc5CN(CCS(=O)(=O)c6ccccc6)C3=O	CID:24868581	phase I
BRD-K72451865	CC(C)(C)OC(=O)CC[C@]12N=C(O[C@@H]2c3ccccc3CN(CCS(=O)(=O)c4ccccc4)C1=O)c5ccc(OCCCO)cc5	CID:24868588	phase I
BRD-K33606495	OCCCOc1ccc(cc1)C2=N[C@](CC=C)(CO2)C(=O)NCCN3CCOCC3	CID:24868685	phase I
BRD-K62169556	OCCCOc1ccc(cc1)C2=N[C@]3(Cc4ccccc4CN(C(=O)c5ccccc5)C3=O)[C@H](O2)c6ccccc6	CID:24868692	phase I
BRD-K00816165	C[N+](C)(C)CCCC[C@@H]1NC(=O)[C@@H]2C[C@@H]([C@@H](N2C1=O)c3cccc(OCCO)c3)C(=O)NCc4ccc(F)cc4	CID:24868992	phase I
BRD-K96167523	COc1ccc(cc1)[Si](C)(C)[C@H]2[C@H](C)[C@]3(O[C@@H]2CCO)C(=O)N(CC=C)c4ccc(NC(=O)C)cc43	CID:24869058	phase I
BRD-K07023879	COc1ccc(cc1)[Si](C)(C)[C@@H]2[C@@H](C)[C@@]3(O[C@H]2CCO)C(=O)N(CC=C)c4ccc(I)cc43	CID:24869062	phase I
BRD-K01614657	COc1ccc(cc1)[Si](C)(C)[C@H]2[C@H](C)[C@]3(O[C@@H]2CCO)C(=O)N(C)c4c3cc(C)cc4Br	CID:24869085	phase I
BRD-K73155123	COc1ccc(cc1)[Si](C)(C)[C@@H]2[C@@H](C)[C@@]3(O[C@H]2CCn4cc(CCO)nn4)C(=O)N(C)c5c3cc(C)cc5Br	CID:24869094	phase I
BRD-A56702968	C[C@H]1O[C@@H](OC2CC(O)C(C(O)CC(=O)CC(O)C(O)CCC(O)CC(O)CC(O)CC(=O)OC(C)C(C)C(O)C(C)C=CC=CCCC=CC=CC=CC=C2)C(=O)O)[C@@H](O)[C@@H](N)[C@@H]1O	CID:24871028	phase I
BRD-K22096725	Cc1ccc(cc1Nc1cncc(c1)C(N)=O)C(=O)Nc1cccc(c1)C(F)(F)F	CID:24875320	phase I
BRD-K68191783	Cc1cn(cn1)-c1cc(cc(c1)C(F)(F)F)C(=O)Nc1ccc(C)c(NC(=O)c2ccno2)c1	CID:24880028	phase I
BRD-K93918653	CC(C)(C)c1cc(NC(=O)Nc2ccc(cc2)-c2cn3c(n2)sc2cc(OCCN4CCOCC4)ccc32)no1	CID:24889392	phase I
BRD-K56277358	Cn1cnc(c1)-c1cc2nccc(Oc3ccc(NC(=S)NC(=O)Cc4ccccc4)cc3F)c2s1	CID:24901704	phase I
BRD-K03618428	CC(C)n1nc(-c2ccc3cn[nH]c3c2)c2c(N)ncnc12	CID:24905203	phase I
BRD-K69840642	CC(C)(C)OC(=O)Nc1ccc(cc1)-c1cc(no1)C(=O)NCCCCCCC(=O)NO	CID:24951314	phase I
BRD-K68065987	NC1(CCC1)c1ccc(cc1)-c1nc2ccn3c(n[nH]c3=O)c2cc1-c1ccccc1	CID:24964624	phase I
BRD-K82746043	CC1(C)CCC(=C(CN2CCN(CC2)c2ccc(cc2)C(=O)NS(=O)(=O)c2ccc(N[C@H](CCN3CCOCC3)CSc3ccccc3)c(c2)S(=O)(=O)C(F)(F)F)C1)c1ccc(Cl)cc1	CID:24978538	phase I
BRD-K28774715	[O-][N+](=O)c1ccccc1C(=O)NNC(=O)c2csc(n2)N3CCOCC3	CID:24980924	phase I
BRD-K71512533	Clc1cccc(NC(=O)Nc2ncc(CCNc3ncnc4ccsc34)s2)c1	CID:24995524	phase I
BRD-K27520107	CCOC(=O)N1CCC(CC1)NCCNC(=O)c2cccc(F)c2	CID:25010829	phase I
BRD-K69231968	CCOC(=O)N1CCC(CC1)NCCNC(=O)c2ccc(F)c(F)c2	CID:25010835	phase I
BRD-K45446451	OC(C1CCN(CC1)C(=O)Oc1ccc(cc1)[N+]([O-])=O)(c1ccc2OCOc2c1)c1ccc2OCOc2c1	CID:25021165	phase I
BRD-K14991967	OC(=O)c1ccc(cc1C1CCCC1)-c1c[nH]c2ncc(cc12)-c1ccccc1	CID:25022668	phase I
BRD-K02581333	CC(C)(c1ccc(NS(=O)(=O)C(F)(F)F)cc1)c2ccc(cc2)C(C)(C)c3cccc(NS(=O)(=O)C(F)(F)F)c3	CID:25035942	phase I
BRD-K41220170	COC(=O)CCCCCCC(=O)N/N=C/c1ccc(o1)S(=O)(=O)O	CID:25042413	phase I
BRD-K50311478	Cc1ccc(cc1)S(=O)(=O)N[C@H](Cc2ccccc2)C(=O)CCl	CID:25044204	phase I
BRD-K23353440	Cc1ccc(F)cc1S(=O)(=O)N[C@@H]2CCN(Cc3ccc4[nH]ccc4c3)C2	CID:25044703	phase I
BRD-K65464785	Cc1ccc(cc1)S(=O)(=O)N[C@@H](Cc2ccccc2)C(=O)NCCn3cc(CN4[C@@H](COCC4=O)c5ccccc5)nn3	CID:25047668	phase I
BRD-K87737963	O=C(NCC#N)c1ccc(cc1)-c1ccnc(Nc2ccc(cc2)N2CCOCC2)n1	CID:25062766	phase I
BRD-K90705745	CN(C(=O)CSc1ccc(nn1)-c1ccccc1)c1nc(C)cs1	CID:25067404	phase I
BRD-K59470558	CCc1nccn1CC(=O)c1ccc(O)c(O)c1	CID:25067484	phase I
BRD-K89190195	Cc1nccn1CC(=O)c2ccc(O)c(O)c2	CID:25067492	phase I
BRD-K59794046	Cc1nc2ccccc2n1CC(=O)c3ccc(O)c(O)c3	CID:25067496	phase I
